workbook,sheet,n_rows,n_cols,nonmissing_cells,missing_cells,missing_fraction
dataset,Evidence_Dashboard,5,3,15,0,0.0
dataset,README,6,3,18,0,0.0
dataset,Source_Log,9,14,119,7,0.05555555555555555
dataset,Scaffold_Response,5,36,146,34,0.18888888888888888
dataset,Extracted_Numeric_Data,87,14,1173,45,0.03694581280788178
dataset,Model_Calibration_Inputs,8,7,56,0,0.0
dataset,Clinical_Echo_Cohort,2,24,48,0,0.0
dataset,Parameter_Map,10,8,80,0,0.0
dataset,Coding_Rules,5,6,29,1,0.03333333333333333
dataset,Validation_Plan,5,5,25,0,0.0
dataset,Priority_To_Do,6,5,30,0,0.0
results,README,6,2,12,0,0.0
results,Result_Dashboard,5,4,20,0,0.0
results,Calibration_Targets,5,7,35,0,0.0
results,Integration_Timecourse,5,9,45,0,0.0
results,Regional_Colonization,5,9,45,0,0.0
results,Polymer_Degradation,5,8,40,0,0.0
results,Hydrodynamic_Targets,5,6,29,1,0.03333333333333333
results,Monte_Carlo_Summary,20,8,160,0,0.0
results,Trend_Fits,2,7,14,0,0.0
results,Manuscript_Outputs,4,4,16,0,0.0
results,Source_URLs,5,3,15,0,0.0
results,Charts_Data,5,10,50,0,0.0
