method,feature,importance,signed_value,p_value
rf_permutation_skipped_fast_mode,set RUN_RF_PERMUTATION_IMPORTANCE=True to run,,,
spearman,predicted_gradient_mmHg,0.5595658481148357,0.5595658481148357,0.0
spearman,failure_risk_0_1,0.36196149161650254,-0.36196149161650254,1.5532520062530574e-148
spearman,residual_Mw_12m_percent,0.32819834581883756,0.32819834581883756,6.362238702689076e-121
spearman,degradation_half_life_months,0.32414467564573596,0.32414467564573596,7.800444608386524e-118
spearman,material_risk_index_0_1,0.26897016737439583,-0.26897016737439583,2.4590913203442408e-80
spearman,regurgitation_fraction_percent,0.19494136775164178,-0.19494136775164178,2.534579259113465e-42
spearman,pore_index_0_1,0.18620431902252335,0.18620431902252335,1.056707911783337e-38
spearman,effective_orifice_area_cm2,0.13221086300949164,0.13221086300949164,3.651724198536549e-20
spearman,morphology_index_0_1,0.12418706534854348,0.12418706534854348,5.865686060940154e-18
spearman,thickness_mm,0.09120756671909895,-0.09120756671909895,2.4421301588951836e-10
